holiday_date,holiday_name,day_of_week,is_weekend,observed_date,is_observed,holiday_type,region
2024-01-01,New Year's Day,Monday,False,2024-01-01,False,Federal,US
2024-01-15,Martin Luther King Jr. Day,Monday,False,2024-01-15,False,Federal,US
2024-02-19,Presidents' Day,Monday,False,2024-02-19,False,Federal,US
2024-05-27,Memorial Day,Monday,False,2024-05-27,False,Federal,US
2024-06-19,Juneteenth,Wednesday,False,2024-06-19,False,Federal,US
2024-07-04,Independence Day,Thursday,False,2024-07-04,False,Federal,US
2024-09-02,Labor Day,Monday,False,2024-09-02,False,Federal,US
2024-10-14,Columbus Day,Monday,False,2024-10-14,False,Federal,US
2024-11-11,Veterans Day,Monday,False,2024-11-11,False,Federal,US
2024-11-28,Thanksgiving Day,Thursday,False,2024-11-28,False,Federal,US
2024-12-25,Christmas Day,Wednesday,False,2024-12-25,False,Federal,US
2025-01-01,New Year's Day,Wednesday,False,2025-01-01,False,Federal,US
2025-01-20,Martin Luther King Jr. Day,Monday,False,2025-01-20,False,Federal,US
2025-02-17,Presidents' Day,Monday,False,2025-02-17,False,Federal,US
2025-05-26,Memorial Day,Monday,False,2025-05-26,False,Federal,US
2025-06-19,Juneteenth,Thursday,False,2025-06-19,False,Federal,US
2025-07-04,Independence Day,Friday,False,2025-07-04,False,Federal,US
2025-09-01,Labor Day,Monday,False,2025-09-01,False,Federal,US
2025-10-13,Columbus Day,Monday,False,2025-10-13,False,Federal,US
2025-11-11,Veterans Day,Tuesday,False,2025-11-11,False,Federal,US
2025-11-27,Thanksgiving Day,Thursday,False,2025-11-27,False,Federal,US
2025-12-25,Christmas Day,Thursday,False,2025-12-25,False,Federal,US
